sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
UMAT,HHZ,UW,,45.290401,-118.959503,0.0,,,100.0
HOOD,BHZ,UW,,45.322262,-121.650932,0.0,,,50.0
STOR,HHZ,UW,,47.188099,-121.9888,0.0,,,100.0
OT3,HHZ,UW,,46.668861,-119.234131,0.0,,,100.0
GNW,BHZ,UW,,47.564129,-122.824982,0.0,,,50.0
HEBO,BHZ,UW,,45.213501,-123.755386,0.0,,,40.0
JEDS,BHZ,UW,,43.751572,-124.049049,0.0,,,40.0
JRO,BHZ,CC,,46.275101,-122.217796,0.0,,,50.0
GBB,HHZ,UW,,46.608688,-119.628983,0.0,,,100.0
CLBH,BHZ,CC,,42.907745,-122.143494,0.0,,,50.0
BRAN,BHZ,UW,,45.9734,-117.227699,0.0,,,40.0
BABR,BHZ,UW,,44.621319,-123.789238,0.0,,,40.0
LRIV,BHZ,UW,,48.057499,-123.503998,0.0,,,40.0
SP2,BHZ,UW,,47.55629,-122.249229,0.0,,,40.0
DAVN,BHZ,UW,,47.800598,-118.274101,0.0,,,40.0
TOLT,BHZ,UW,,47.694698,-121.689499,0.0,,,50.0
BEER,HHZ,UO,,44.1077,-123.847298,0.0,,,100.0
CAVE,HHZ,UO,,42.120899,-123.570702,0.0,,,100.0
CHIL,HHZ,UO,,42.624599,-121.753601,0.0,,,100.0
JESE,HHZ,UO,,45.242199,-121.316704,0.0,,,100.0
NATH,HHZ,UO,,43.794102,-122.411301,0.0,,,100.0
FORK,BHZ,UW,,47.947498,-124.5662,0.0,,,40.0
RAIN,HHZ,UO,,46.082901,-123.010803,0.0,,,100.0
DBO,BHZ,UO,,43.118721,-123.244423,0.0,,,40.0
FISH,HHZ,UW,,45.930599,-123.559097,0.0,,,100.0
KENT,HHZ,UW,,45.235699,-120.635101,0.0,,,100.0
DRAN,HHZ,UO,,43.697201,-123.348701,0.0,,,100.0
MINN,HHZ,UO,,45.211498,-123.264099,0.0,,,100.0
DFAZ,HHZ,UO,,43.240601,-122.109299,0.0,,,100.0
BUCK,BHZ,UO,,44.1973,-122.986198,0.0,,,40.0
PANH,BHZ,CC,,46.859001,-121.642609,0.0,,,50.0
PINE,BHZ,UO,,43.792099,-120.940697,0.0,,,40.0
IRON,HHZ,UW,,43.358002,-118.474297,0.0,,,100.0
OMAK,BHZ,UW,,48.358398,-119.333199,0.0,,,40.0
DOSE,BHZ,UW,,47.717201,-122.971802,0.0,,,40.0
PASS,HHZ,UW,,48.998299,-122.085197,0.0,,,100.0
MANO,HHZ,UW,,46.951103,-120.724693,0.0,,,100.0
SHRK,BHZ,CC,,45.464317,-121.52877,0.0,,,50.0
MDW,HHZ,UW,,46.613022,-119.762154,0.0,,,100.0
TCBU,BHZ,CC,,44.240829,-121.664383,0.0,,,50.0
VALT,BHZ,CC,,46.214218,-122.189247,0.0,,,50.0
WIFE,BHZ,CC,,44.059662,-121.817459,0.0,,,50.0
SWF2,BHZ,CC,,46.178322,-122.216743,0.0,,,50.0
TREE,HHZ,UW,,42.7258,-120.893402,0.0,,,100.0
FHAC,HHZ,UO,,44.3386,-121.3395,0.0,,,100.0
LAIR,HHZ,UO,,43.161499,-123.931396,0.0,,,100.0
ROGE,HHZ,UO,,42.695499,-123.665398,0.0,,,100.0
TOOM,HHZ,UO,,43.284901,-121.234703,0.0,,,100.0
WLOO,HHZ,UO,,44.523399,-122.737701,0.0,,,100.0
WOOD,HHZ,UO,,42.217899,-122.304604,0.0,,,100.0
WA2,HHZ,UW,,46.755192,-119.566811,0.0,,,100.0
CCRK,HHZ,UW,,46.558498,-119.854797,0.0,,,100.0
PHIN,HHZ,UW,,45.8951,-119.927803,0.0,,,100.0
YPT,HHZ,UW,,46.04858,-118.963287,0.0,,,100.0
TUCA,HHZ,UW,,46.513901,-118.1455,0.0,,,100.0
MRBL,HHZ,UW,,48.518299,-121.484497,0.0,,,100.0
KREP,BHZ,UW,,45.885201,-121.459702,0.0,,,40.0
KREP,HHZ,UW,,45.885201,-121.459702,0.0,,,100.0
UGP4,HHZ,UW,,46.530231,-120.446373,0.0,,,200.0
H2O,HHZ,UW,,46.39555,-119.42411,0.0,,,100.0
CIHL,BHZ,CC,,43.750969,-121.148621,0.0,,,50.0
CPCO,BHZ,CC,,43.722012,-121.233192,0.0,,,50.0
SWNB,BHZ,CC,,43.672741,-121.355347,0.0,,,50.0
TMBU,BHZ,CC,,43.601891,-121.144508,0.0,,,50.0
EPH2,HHZ,UW,,47.3703,-119.611603,0.0,,,100.0
DDRF,HHZ,UW,,46.4911,-119.059502,0.0,,,100.0
IZEE,HHZ,UW,,44.082001,-119.504204,0.0,,,100.0
WOLL,HHZ,UW,,47.057301,-118.920998,0.0,,,100.0
STD,BHZ,CC,,46.23761,-122.223961,0.0,,,50.0
PR01,BHZ,CC,,46.91011,-122.037567,0.0,,,50.0
SNI2,HHZ,UW,,46.464802,-119.655151,0.0,,,100.0
LNO,HHZ,UW,,45.871761,-118.287071,0.0,,,100.0
UGAP1,HHZ,UW,,46.531261,-120.469429,0.0,,,200.0
PR03,BHZ,CC,,46.903435,-122.032692,0.0,,,50.0
PR04,BHZ,CC,,46.929749,-121.988525,0.0,,,50.0
PR05,BHZ,CC,,46.841724,-121.94886,0.0,,,50.0
LEBA,HHZ,UW,,46.545898,-123.563202,0.0,,,100.0
LTY,BHZ,UW,,47.254509,-120.666359,0.0,,,50.0
BLOW,HHZ,UW,,44.683701,-122.186203,0.0,,,100.0
WISH,BHZ,UW,,47.116982,-123.771179,0.0,,,40.0
SHUK,BHZ,UW,,48.85284,-121.676949,0.0,,,50.0
LON,BHZ,UW,,46.750599,-121.809601,0.0,,,40.0
RADR,BHZ,UW,,46.42181,-123.798973,0.0,,,40.0
RATT,BHZ,UW,,47.425461,-121.802544,0.0,,,40.0
OBSR,BHZ,CC,,46.899719,-121.815331,0.0,,,50.0
PRLK,BHZ,CC,,44.209751,-121.962639,0.0,,,50.0
LCCR,HHZ,UW,,45.205898,-122.478401,0.0,,,100.0
PRO,HHZ,UW,,46.212521,-119.686813,0.0,,,100.0
ASBU,BHZ,CC,,43.82056,-121.368401,0.0,,,50.0
MOX,HHZ,UW,,46.577179,-120.299339,0.0,,,100.0
YACT,HHZ,UW,,45.932499,-122.419296,0.0,,,100.0
PR02,BHZ,CC,,46.918304,-122.048637,0.0,,,50.0
NORM,BHZ,CC,,43.73896,-121.252678,0.0,,,50.0
